14:36:30.419, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:30.452, LED:[0], Chans:(8, 10, 91, 230, 81, 19)
14:36:30.486, LED:[0], Chans:(8, 9, 91, 231, 82, 18)
14:36:30.519, LED:[0], Chans:(8, 10, 91, 231, 82, 15)
14:36:30.554, LED:[0], Chans:(8, 10, 91, 230, 82, 19)
14:36:30.587, LED:[0], Chans:(8, 10, 92, 230, 82, 15)
14:36:30.621, LED:[0], Chans:(8, 10, 91, 230, 82, 21)
14:36:30.654, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:30.687, LED:[0], Chans:(8, 9, 92, 230, 82, 15)
14:36:30.721, LED:[0], Chans:(8, 10, 92, 230, 82, 15)
14:36:30.755, LED:[0], Chans:(8, 10, 91, 230, 82, 15)
14:36:30.789, LED:[0], Chans:(8, 9, 92, 230, 82, 16)
14:36:30.822, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:30.855, LED:[0], Chans:(8, 10, 92, 230, 82, 15)
14:36:30.889, LED:[0], Chans:(8, 10, 91, 230, 82, 16)
14:36:30.923, LED:[0], Chans:(8, 10, 91, 231, 82, 18)
14:36:30.957, LED:[0], Chans:(8, 10, 91, 230, 82, 18)
14:36:30.990, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:31.023, LED:[0], Chans:(8, 10, 92, 229, 81, 16)
14:36:31.057, LED:[0], Chans:(8, 9, 91, 230, 82, 16)
14:36:31.091, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:31.125, LED:[0], Chans:(8, 10, 92, 230, 82, 16)
14:36:31.158, LED:[0], Chans:(8, 9, 91, 229, 82, 16)
14:36:31.191, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:31.225, LED:[0], Chans:(8, 9, 91, 231, 81, 20)
14:36:31.259, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:31.293, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:31.326, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:31.359, LED:[0], Chans:(8, 9, 92, 232, 82, 15)
14:36:31.393, LED:[0], Chans:(8, 10, 91, 230, 81, 18)
14:36:31.427, LED:[0], Chans:(8, 10, 92, 231, 81, 16)
14:36:31.461, LED:[0], Chans:(8, 9, 91, 229, 82, 15)
14:36:31.494, LED:[0], Chans:(8, 9, 91, 230, 81, 15)
14:36:31.527, LED:[0], Chans:(8, 9, 91, 230, 82, 15)
14:36:31.561, LED:[0], Chans:(8, 10, 91, 230, 81, 17)
14:36:31.595, LED:[0], Chans:(8, 10, 91, 231, 82, 18)
14:36:31.646, LED:[1], Chans:(31, 27, 176, 1171, 157, 85)
14:36:31.679, LED:[1], Chans:(31, 27, 176, 1169, 157, 84)
14:36:31.714, LED:[1], Chans:(31, 28, 176, 1170, 157, 85)
14:36:31.747, LED:[1], Chans:(31, 28, 175, 1170, 157, 86)
14:36:31.781, LED:[1], Chans:(31, 28, 175, 1170, 158, 84)
14:36:31.814, LED:[1], Chans:(31, 27, 176, 1169, 157, 86)
14:36:31.847, LED:[1], Chans:(31, 28, 176, 1170, 157, 85)
14:36:31.882, LED:[1], Chans:(31, 28, 176, 1170, 157, 84)
14:36:31.915, LED:[1], Chans:(31, 28, 175, 1169, 157, 85)
14:36:31.949, LED:[1], Chans:(31, 28, 175, 1170, 157, 83)
14:36:31.982, LED:[1], Chans:(31, 27, 176, 1169, 157, 84)
14:36:32.015, LED:[1], Chans:(31, 28, 176, 1170, 158, 85)
14:36:32.050, LED:[1], Chans:(31, 27, 175, 1168, 157, 83)
14:36:32.083, LED:[1], Chans:(31, 28, 176, 1168, 158, 85)
14:36:32.117, LED:[1], Chans:(31, 28, 175, 1170, 157, 86)
14:36:32.150, LED:[1], Chans:(31, 27, 175, 1170, 157, 85)
14:36:32.183, LED:[1], Chans:(31, 27, 176, 1173, 158, 82)
14:36:32.218, LED:[1], Chans:(30, 27, 175, 1170, 157, 83)
14:36:32.251, LED:[1], Chans:(31, 29, 175, 1170, 158, 85)
14:36:32.285, LED:[1], Chans:(31, 27, 176, 1170, 157, 84)
14:36:32.318, LED:[1], Chans:(31, 27, 176, 1170, 158, 85)
14:36:32.351, LED:[1], Chans:(31, 27, 175, 1170, 158, 85)
14:36:32.386, LED:[1], Chans:(31, 28, 175, 1170, 157, 86)
14:36:32.419, LED:[1], Chans:(31, 28, 176, 1170, 157, 85)
14:36:32.453, LED:[1], Chans:(31, 28, 176, 1171, 158, 83)
14:36:32.486, LED:[1], Chans:(31, 28, 175, 1169, 157, 84)
14:36:32.519, LED:[1], Chans:(31, 27, 175, 1170, 157, 85)
14:36:32.553, LED:[1], Chans:(31, 27, 175, 1170, 157, 85)
14:36:32.587, LED:[1], Chans:(31, 28, 176, 1171, 157, 85)
14:36:32.621, LED:[1], Chans:(31, 27, 176, 1169, 157, 83)
14:36:32.654, LED:[1], Chans:(31, 28, 176, 1171, 157, 84)
14:36:32.688, LED:[1], Chans:(31, 28, 176, 1171, 157, 83)
14:36:32.721, LED:[1], Chans:(31, 28, 176, 1170, 158, 83)
14:36:32.755, LED:[1], Chans:(31, 28, 176, 1170, 157, 85)
14:36:32.789, LED:[1], Chans:(31, 27, 176, 1170, 157, 86)
14:36:32.822, LED:[1], Chans:(31, 27, 176, 1170, 158, 84)
14:36:32.856, LED:[1], Chans:(31, 29, 176, 1169, 158, 84)
14:36:32.889, LED:[1], Chans:(31, 29, 176, 1169, 158, 86)
14:36:32.923, LED:[1], Chans:(31, 28, 175, 1169, 157, 84)
